geneA,geneB
Q0110,YGR037C
Q0110,YKR016W
Q0110,YPR042C
Q0115,YDR231C
Q0115,YGL122C
Q0115,YGL187C
Q0115,YIR021W
Q0115,YKR016W
Q0120,YDR231C
Q0120,YGL122C
Q0120,YGL187C
Q0120,YGR112W
Q0120,YKR016W
Q0120,YLR382C
Q0130,YBL099W
Q0130,YER154W
Q0130,YHR051W
Q0130,YJR045C
Q0130,YKL016C
Q0130,YLR203C
Q0130,YLR393W
Q0130,YOL027C
Q0130,YPL078C
Q0140,YDL156W
Q0140,YDR231C
Q0140,YER154W
Q0140,YGL122C
Q0140,YHL004W
Q0140,YJL014W
Q0140,YJR045C
Q0140,YKL155C
Q0140,YLR320W
Q0140,YNL155W
Q0140,YOL027C
Q0140,YPR042C
Q0140,YPR125W
Q0158,YGL064C
Q0158,YPR042C
Q0160,YBL075C
Q0250,Q0275
Q0250,YBL030C
Q0250,YBL045C
Q0250,YBR024W
Q0250,YBR037C
Q0250,YBR185C
Q0250,YBR255C-A
Q0250,YDL107W
Q0250,YDR119W-A
Q0250,YDR231C
Q0250,YER154W
Q0250,YGL187C
Q0250,YGR033C
Q0250,YGR062C
Q0250,YGR112W
Q0250,YGR132C
Q0250,YHR051W
Q0250,YHR076W
Q0250,YIL051C
Q0250,YIL157C
Q0250,YJL062W-A
Q0250,YJR045C
Q0250,YJR121W
Q0250,YKR016W
Q0250,YLR203C
Q0250,YLR395C
Q0250,YML030W
Q0250,YML129C
Q0250,YMR244C-A
Q0250,YNL026W
Q0250,YNL305C
Q0250,YNR017W
Q0250,YNR018W
Q0250,YOL027C
Q0250,YOR065W
Q0250,YOR090C
Q0250,YPR042C
Q0250,YPR191W
Q0255,YGL122C
Q0255,YJR045C
Q0275,YDL107W
Q0275,YDR231C
Q0275,YER154W
Q0275,YGL187C
Q0275,YGL191W
Q0275,YGR062C
Q0275,YGR222W
Q0275,YHR051W
Q0275,YJL062W-A
Q0275,YJR121W
Q0275,YLR203C
Q0275,YLR395C
Q0275,YML030W
Q0275,YML129C
Q0275,YMR256C
Q0275,YNR018W
Q0275,YOL027C
Q0275,YPR042C
YBL030C,YBR024W
YBL030C,YDL160C
YBL030C,YDR529C
YBL030C,YEL024W
YBL030C,YGL187C
YBL030C,YGL191W
YBL030C,YHR051W
YBL030C,YJR045C
YBL030C,YKR016W
YBL030C,YLR203C
YBL030C,YML030W
YBL030C,YNL026W
YBL030C,YNL052W
YBL030C,YNL305C
YBL030C,YNR017W
YBL030C,YOR065W
YBL030C,YPL078C
YBL030C,YPR191W
YBL045C,YBR255C-A
YBL045C,YDR119W-A
YBL045C,YDR377W
YBL045C,YDR529C
YBL045C,YEL024W
YBL045C,YGL122C
YBL045C,YGL187C
YBL045C,YGL191W
YBL045C,YGR033C
YBL045C,YGR112W
YBL045C,YGR174C
YBL045C,YGR222W
YBL045C,YHR051W
YBL045C,YHR076W
YBL045C,YIL111W
YBL045C,YJL062W-A
YBL045C,YJL166W
YBL045C,YJR045C
YBL045C,YKR016W
YBL045C,YLR320W
YBL045C,YLR395C
YBL045C,YML030W
YBL045C,YML129C
YBL045C,YMR256C
YBL045C,YNL026W
YBL045C,YNL052W
YBL045C,YNL305C
YBL045C,YNR017W
YBL045C,YNR018W
YBL045C,YOL027C
YBL045C,YOR065W
YBL045C,YPL215W
YBL045C,YPR125W
YBL045C,YPR191W
YBL075C,YDL160C
YBL075C,YGL122C
YBL075C,YLR320W
YBL075C,YNL305C
YBL099W,YBR039W
YBL099W,YDL160C
YBL099W,YDR231C
YBL099W,YJR045C
YBL099W,YJR121W
YBL099W,YKL016C
YBL099W,YKR016W
YBL099W,YLR295C
YBL099W,YML081C-A
YBL099W,YNL026W
YBL099W,YPL078C
YBL099W,YPL271W
YBL099W,YPR042C
YBR009C,YDL156W
YBR009C,YDL160C
YBR009C,YGL122C
YBR009C,YJL014W
YBR009C,YLR320W
YBR009C,YNL026W
YBR009C,YNL030W
YBR009C,YPR042C
YBR024W,YDR231C
YBR024W,YKR016W
YBR024W,YMR244C-A
YBR024W,YOR090C
YBR037C,YDL160C
YBR037C,YDR231C
YBR037C,YGL122C
YBR037C,YGL187C
YBR037C,YMR244C-A
YBR039W,YDL160C
YBR039W,YDR231C
YBR039W,YGL122C
YBR039W,YJR045C
YBR039W,YJR121W
YBR039W,YKL016C
YBR039W,YKR016W
YBR039W,YNL026W
YBR039W,YPL078C
YBR039W,YPL271W
YBR120C,YDL160C
YBR120C,YGL122C
YBR120C,YGL187C
YBR120C,YJR045C
YBR120C,YKR016W
YBR120C,YPL215W
YBR120C,YPR042C
YBR185C,YDL107W
YBR185C,YDL160C
YBR185C,YDR231C
YBR185C,YGL187C
YBR185C,YJR045C
YBR185C,YOL027C
YBR185C,YPR042C
YBR255C-A,YEL024W
YBR255C-A,YGL122C
YBR255C-A,YGL187C
YBR255C-A,YJL166W
YBR255C-A,YKR016W
YBR255C-A,YML030W
YBR255C-A,YNR018W
YBR255C-A,YOR065W
YDL004W,YDL160C
YDL004W,YDR231C
YDL004W,YGL122C
YDL004W,YJR045C
YDL004W,YJR121W
YDL004W,YKR016W
YDL004W,YLR320W
YDL004W,YPL078C
YDL107W,YDL160C
YDL107W,YDR231C
YDL107W,YGL122C
YDL107W,YGR062C
YDL156W,YDR529C
YDL156W,YJL014W
YDL156W,YJR045C
YDL156W,YNL030W
YDL156W,YPR042C
YDL156W,YPR125W
YDL160C,YDR375C
YDL160C,YDR377W
YDL160C,YDR529C
YDL160C,YEL024W
YDL160C,YER142C
YDL160C,YER154W
YDL160C,YGL064C
YDL160C-A,YGL122C
YDL160C,YGL191W
YDL160C,YGR033C
YDL160C,YGR037C
YDL160C,YGR062C
YDL160C,YGR174C
YDL160C,YGR222W
YDL160C,YHL038C
YDL160C,YHR051W
YDL160C,YIL051C
YDL160C,YIL157C
YDL160C,YIR021W
YDL160C,YJL014W
YDL160C,YJL062W-A
YDL160C,YJR045C
YDL160C,YJR121W
YDL160C,YKL016C
YDL160C,YKL155C
YDL160C,YKR016W
YDL160C,YLR203C
YDL160C,YLR295C
YDL160C,YLR382C
YDL160C,YLR393W
YDL160C,YLR395C
YDL160C,YML030W
YDL160C,YML129C
YDL160C,YMR244C-A
YDL160C,YMR256C
YDL160C,YNL026W
YDL160C,YNL030W
YDL160C,YNL052W
YDL160C,YNL155W
YDL160C,YNR017W
YDL160C,YNR018W
YDL160C,YNR019W
YDL160C,YOL027C
YDL160C,YOR090C
YDL160C,YPL078C
YDL160C,YPL172C
YDL160C,YPL215W
YDL160C,YPL271W
YDL160C-A,YPR042C
YDL160C,YPR042C
YDL160C,YPR125W
YDL160C,YPR140W
YDL160C,YPR191W
YDR119W-A,YEL024W
YDR119W-A,YGL122C
YDR119W-A,YGL187C
YDR119W-A,YGL191W
YDR119W-A,YIL111W
YDR119W-A,YJL166W
YDR119W-A,YKR016W
YDR119W-A,YML030W
YDR119W-A,YNL052W
YDR231C,YDR377W
YDR231C,YER154W
YDR231C,YGR033C
YDR231C,YGR062C
YDR231C,YGR222W
YDR231C,YIL111W
YDR231C,YJL062W-A
YDR231C,YJR045C
YDR231C,YJR121W
YDR231C,YKL016C
YDR231C,YKR016W
YDR231C,YNR017W
YDR231C,YPL271W
YDR231C,YPR125W
YDR231C,YPR140W
YDR375C,YEL024W
YDR375C,YPR042C
YDR375C,YPR191W
YDR377W,YGL122C
YDR377W,YGL187C
YDR377W,YJR045C
YDR377W,YJR121W
YDR377W,YKL016C
YDR377W,YKR016W
YDR377W,YML081C-A
YDR377W,YPL078C
YDR377W,YPR042C
YDR529C,YGL122C
YDR529C,YGL187C
YDR529C,YGR174C
YDR529C,YJR045C
YDR529C,YKR016W
YDR529C,YNL026W
YDR529C,YPL215W
YDR529C,YPR191W
YEL024W,YGL187C
YEL024W,YGL191W
YEL024W,YGR033C
YEL024W,YGR112W
YEL024W,YHR051W
YEL024W,YJR045C
YEL024W,YKR016W
YEL024W,YML030W
YEL024W,YML129C
YEL024W,YNL026W
YEL024W,YNR017W
YEL024W,YNR018W
YEL024W,YPR191W
YER154W,YGL122C
YER154W,YGL187C
YER154W,YJR045C
YER154W,YNR017W
YER154W,YPL078C
YER154W,YPR042C
YGL064C,YJR045C
YGL064C,YKL155C
YGL064C,YPR042C
YGL122C,YGL191W
YGL122C,YGR037C
YGL122C,YGR062C
YGL122C,YGR174C
YGL122C,YHR051W
YGL122C,YHR076W
YGL122C,YIL051C
YGL122C,YIL111W
YGL122C,YIL157C
YGL122C,YJL062W-A
YGL122C,YJL166W
YGL122C,YJR045C
YGL122C,YJR121W
YGL122C,YKL016C
YGL122C,YKR016W
YGL122C,YLR395C
YGL122C,YML030W
YGL122C,YML081C-A
YGL122C,YML129C
YGL122C,YMR256C
YGL122C,YNL030W
YGL122C,YNL052W
YGL122C,YNR019W
YGL122C,YOR065W
YGL122C,YOR090C
YGL122C,YPL078C
YGL122C,YPL215W
YGL122C,YPL271W
YGL122C,YPR042C
YGL122C,YPR140W
YGL122C,YPR191W
YGL187C,YGR033C
YGL187C,YGR112W
YGL187C,YGR174C
YGL187C,YGR222W
YGL187C,YHR051W
YGL187C,YHR076W
YGL187C,YIL111W
YGL187C,YJL166W
YGL187C,YJR045C
YGL187C,YKR016W
YGL187C,YLR203C
YGL187C,YLR395C
YGL187C,YML030W
YGL187C,YML129C
YGL187C,YMR256C
YGL187C,YNL026W
YGL187C,YNL052W
YGL187C,YNL305C
YGL187C,YNR017W
YGL187C,YNR018W
YGL187C,YOL027C
YGL187C,YOR065W
YGL187C,YPL215W
YGL187C,YPR191W
YGL191W,YJL166W
YGL191W,YJR045C
YGL191W,YKR016W
YGL191W,YML030W
YGL191W,YNR017W
YGL191W,YNR018W
YGR033C,YJL166W
YGR033C,YJR045C
YGR033C,YKR016W
YGR033C,YNR017W
YGR037C,YNL026W
YGR112W,YHR051W
YGR112W,YIL157C
YGR112W,YJL062W-A
YGR112W,YKL016C
YGR112W,YKR016W
YGR112W,YLR203C
YGR112W,YML129C
YGR112W,YNL052W
YGR112W,YOR065W
YGR112W,YPR042C
YGR112W,YPR191W
YGR132C,YHR076W
YGR132C,YJR045C
YGR132C,YKR016W
YGR132C,YNL026W
YGR132C,YOR090C
YGR132C,YPR042C
YGR174C,YKR016W
YGR174C,YPL215W
YGR222W,YJR045C
YGR222W,YLR067C
YGR222W,YLR203C
YHL004W,YJR045C
YHL004W,YKL155C
YHL004W,YLR320W
YHL004W,YOL027C
YHL004W,YPR042C
YHL004W,YPR125W
YHL038C,YJR045C
YHR051W,YJL062W-A
YHR051W,YJR045C
YHR051W,YKR016W
YHR051W,YLR203C
YHR051W,YNL026W
YHR051W,YNL052W
YHR051W,YOR065W
YHR051W,YPR042C
YHR076W,YOR065W
YHR076W,YOR090C
YIL051C,YKR016W
YIL051C,YNL026W
YIL111W,YJL062W-A
YIL111W,YKR016W
YIL111W,YML129C
YIL111W,YNR018W
YIL157C,YJL062W-A
YIL157C,YKR016W
YIL157C,YLR203C
YIL157C,YML129C
YIL157C,YNL052W
YJL014W,YNL030W
YJL014W,YNL155W
YJL062W-A,YLR203C
YJL062W-A,YML129C
YJL062W-A,YNL052W
YJL062W-A,YPR042C
YJL166W,YKR016W
YJL166W,YML129C
YJL166W,YNR017W
YJL166W,YNR018W
YJL166W,YPR191W
YJR045C,YKL016C
YJR045C,YKL155C
YJR045C,YKR016W
YJR045C,YLR203C
YJR045C,YLR295C
YJR045C,YLR393W
YJR045C,YNL026W
YJR045C,YNL052W
YJR045C,YNR017W
YJR045C,YNR018W
YJR045C,YOL027C
YJR045C,YOR065W
YJR045C,YOR090C
YJR045C,YPL078C
YJR045C,YPL215W
YJR045C,YPL271W
YJR045C,YPR042C
YJR045C,YPR125W
YJR045C,YPR191W
YJR121W,YKR016W
YJR121W,YLR295C
YJR121W,YML081C-A
YJR121W,YNL026W
YJR121W,YNL305C
YJR121W,YPL078C
YJR121W,YPL271W
YJR121W,YPR042C
YKL016C,YKR016W
YKL016C,YLR295C
YKL016C,YLR320W
YKL016C,YML081C-A
YKL016C,YNL026W
YKL016C,YPL078C
YKL016C,YPL271W
YKL155C,YOL027C
YKL155C,YPR042C
YKL155C,YPR125W
YKR016W,YLR203C
YKR016W,YLR295C
YKR016W,YLR395C
YKR016W,YML030W
YKR016W,YML081C-A
YKR016W,YML129C
YKR016W,YMR256C
YKR016W,YNL026W
YKR016W,YNL052W
YKR016W,YNR017W
YKR016W,YNR018W
YKR016W,YOR065W
YKR016W,YPL078C
YKR016W,YPL215W
YKR016W,YPL271W
YKR016W,YPR191W
YLR203C,YML129C
YLR203C,YNL052W
YLR295C,YNL026W
YLR295C,YPL078C
YLR320W,YOR090C
YLR320W,YPR042C
YLR320W,YPR191W
YML030W,YNL052W
YML030W,YNR018W
YML030W,YOR065W
YML030W,YPR042C
YML030W,YPR191W
YML081C-A,YPL078C
YML129C,YNL052W
YML129C,YOR065W
YML129C,YPR042C
YMR244C-A,YPR042C
YMR256C,YPR042C
YNL026W,YNL052W
YNL026W,YOR065W
YNL026W,YPR191W
YNL030W,YPR042C
YNL052W,YNR018W
YNL052W,YPR042C
YNL305C,YPR191W
YNR017W,YPR042C
YNR018W,YOR065W
YNR018W,YOR090C
YNR018W,YPR042C
YNR018W,YPR191W
YOL027C,YPR125W
YOR065W,YPR191W
YPL078C,YPL271W
YPL172C,YPR042C
